"","location","date","total_deaths_per_million","mask_category"
"2287","Estonia",136,98.789,2
"2288","France",136,269.703,3
"2289","Latvia",136,10.807,2
"2290","Portugal",136,126.085,3
"2291","Austria",136,71.032,1
"2292","Bulgaria",136,15.925,1
"2293","Germany",136,107.473,2
"2294","Belarus",136,18.354,1
"2295","United Kingdom",136,720.956,2
"2296","Serbia",136,34.053,1
"2297","North Macedonia",136,51.108,2
"2298","Albania",136,10.907,1
"2299","Belgium",136,777.716,2
"2300","Italy",136,544.891,3
"2301","Norway",136,42.876,1
"2302","Ireland",136,312.356,2
"2303","Denmark",137,95.202,1
"2304","Ireland",137,314.148,2
"2305","United Kingdom",137,726.452,2
"2306","Bulgaria",137,15.925,1
"2307","Hungary",137,47.455,3
"2308","Netherlands",137,332.669,1
"2309","Poland",137,24.111,3
"2310","Germany",137,107.473,2
"2311","Norway",137,43.06,1
"2312","Slovakia",137,4.961,3
"2313","Bosnia and Herzegovina",137,42.059,1
"2314","Spain",137,596.695,3
"2315","Sweden",137,392.536,1
"2316","Italy",137,547.618,3
"2317","Czechia",137,29.255,1
"2318","Estonia",137,98.789,2
"2319","France",137,269.703,3
"2320","Latvia",137,10.807,2
"2321","North Macedonia",137,51.108,2
"2322","Portugal",137,126.085,3
"2323","Austria",137,71.144,1
"2324","Finland",137,53.964,1
"2325","Belarus",137,19.402,1
"2326","Albania",137,10.907,1
"2327","Greece",137,15.985,3
"2328","Lithuania",137,16.727,3
"2329","Romania",137,58.344,3
"2330","Switzerland",137,195.985,1
"2331","Slovenia",137,52.362,2
"2332","Croatia",137,23.819,1
"2333","Serbia",137,34.199,1
"2334","Ukraine",137,5.995,2
"2335","Belgium",137,780.805,2
"2336","Portugal",138,126.085,3
"2337","Finland",138,53.964,1
"2338","Greece",138,15.985,3
"2339","Bosnia and Herzegovina",138,43.296,1
"2340","Belarus",138,19.927,1
"2341","Norway",138,43.06,1
"2342","Switzerland",138,196.557,1
"2343","France",138,269.703,3
"2344","Spain",138,596.695,3
"2345","Italy",138,550.261,3
"2346","Sweden",138,397.56,1
"2347","Romania",138,58.802,3
"2348","Czechia",138,29.541,1
"2349","Slovakia",138,4.961,3
"2350","Ireland",138,315.741,2
"2351","Ukraine",138,5.995,2
"2352","Hungary",138,47.756,3
"2353","Albania",138,10.907,1
"2354","United Kingdom",138,731.681,2
"2355","Poland",138,24.362,3
"2356","Austria",138,71.48,1
"2357","Croatia",138,24.067,1
"2358","Netherlands",138,332.669,1
"2359","North Macedonia",138,51.108,2
"2360","Belgium",138,783.464,2
"2361","Estonia",138,98.789,2
"2362","Bulgaria",138,15.925,1
"2363","Serbia",138,34.49,1
"2364","Slovenia",138,52.362,2
"2365","Germany",138,107.473,2
"2366","Latvia",138,10.807,2
"2367","Denmark",138,96.392,1
"2368","Lithuania",138,16.727,3
"2369","Lithuania",139,17.091,3
"2370","France",139,269.703,3
"2371","United Kingdom",139,736.747,2
"2372","Italy",139,552.463,3
"2373","North Macedonia",139,51.108,2
"2374","Latvia",139,10.807,2
"2375","Slovakia",139,4.961,3
"2376","Czechia",139,29.731,1
"2377","Belarus",139,19.927,1
"2378","Croatia",139,24.564,1
"2379","Poland",139,24.613,3
"2380","Albania",139,10.907,1
"2381","Netherlands",139,332.669,1
"2382","Hungary",139,48.358,3
"2383","Bulgaria",139,15.925,1
"2384","Slovenia",139,52.362,2
"2385","Ukraine",139,5.995,2
"2386","Greece",139,15.985,3
"2387","Bosnia and Herzegovina",139,43.606,1
"2388","Norway",139,43.244,1
"2389","Spain",139,596.695,3
"2390","Belgium",139,786.724,2
"2391","Estonia",139,98.789,2
"2392","Portugal",139,126.085,3
"2393","Germany",139,107.473,2
"2394","Denmark",139,96.392,1
"2395","Switzerland",139,196.671,1
"2396","Romania",139,59.31,3
"2397","Austria",139,71.815,1
"2398","Ireland",139,316.736,2
"2399","Finland",139,53.964,1
"2400","Sweden",139,402.868,1
"2401","Serbia",139,34.49,1
"2402","North Macedonia",140,55.407,2
"2403","France",140,278.399,3
"2404","Serbia",140,34.636,1
"2405","Denmark",140,96.392,1
"2406","Romania",140,59.819,3
"2407","Germany",140,108.804,2
"2408","Finland",140,53.964,1
"2409","Bosnia and Herzegovina",140,43.606,1
"2410","Spain",140,606.199,3
"2411","Lithuania",140,17.454,3
"2412","Estonia",140,99.543,2
"2413","Belgium",140,790.328,2
"2414","United Kingdom",140,741.191,2
"2415","Ireland",140,317.732,2
"2416","Switzerland",140,196.786,1
"2417","Bulgaria",140,19.169,1
"2418","Greece",140,16.659,3
"2419","Portugal",140,132.706,3
"2420","Norway",140,43.244,1
"2421","Poland",140,24.889,3
"2422","Austria",140,72.263,1
"2423","Belarus",140,20.346,1
"2424","Italy",140,554.478,3
"2425","Latvia",140,12.428,2
"2426","Netherlands",140,339.501,1
"2427","Croatia",140,24.564,1
"2428","Slovenia",140,53.306,2
"2429","Sweden",140,408.082,1
"2430","Hungary",140,48.759,3
"2431","Albania",140,10.907,1
"2432","Ukraine",140,6.574,2
"2433","Czechia",140,29.827,1
"2434","Slovakia",140,4.961,3
"2435","Slovenia",141,53.306,2
"2436","Belgium",141,792.73,2
"2437","Spain",141,606.199,3
"2438","Serbia",141,34.636,1
"2439","Portugal",141,132.706,3
"2440","Lithuania",141,17.818,3
"2441","Poland",141,24.964,3
"2442","Belarus",141,20.871,1
"2443","Croatia",141,24.564,1
"2444","Netherlands",141,339.501,1
"2445","Greece",141,16.659,3
"2446","Hungary",141,49.261,3
"2447","Slovakia",141,4.961,3
"2448","Ukraine",141,6.574,2
"2449","Bulgaria",141,19.169,1
"2450","Denmark",141,96.562,1
"2451","Germany",141,108.804,2
"2452","Finland",141,53.964,1
"2453","Bosnia and Herzegovina",141,44.533,1
"2454","Romania",141,60.277,3
"2455","Switzerland",141,196.786,1
"2456","Ireland",141,318.329,2
"2457","Latvia",141,12.428,2
"2458","North Macedonia",141,55.407,2
"2459","Albania",141,10.907,1
"2460","France",141,278.399,3
"2461","Estonia",141,99.543,2
"2462","Italy",141,555.325,3
"2463","Austria",141,72.374,1
"2464","Czechia",141,29.922,1
"2465","Sweden",141,412.253,1
"2466","United Kingdom",141,745.398,2
"2467","Norway",141,43.244,1
"2468","Italy",142,556.884,3
"2469","Denmark",142,96.732,1
"2470","Finland",142,53.964,1
"2471","France",142,278.399,3
"2472","Slovakia",142,4.961,3
"2473","Netherlands",142,339.501,1
"2474","Albania",142,11.258,1
"2475","Germany",142,108.804,2
"2476","Latvia",142,12.428,2
"2477","Lithuania",142,18.545,3
"2478","Estonia",142,99.543,2
"2479","Norway",142,43.244,1
"2480","Hungary",142,50.064,3
"2481","Romania",142,61.142,3
"2482","Greece",142,16.659,3
"2483","United Kingdom",142,749.56,2
"2484","Ireland",142,319.523,2
"2485","Bosnia and Herzegovina",142,45.152,1
"2486","Belarus",142,21.395,1
"2487","Ukraine",142,6.574,2
"2488","Spain",142,606.199,3
"2489","Poland",142,25.24,3
"2490","Czechia",142,30.017,1
"2491","Switzerland",142,197.015,1
"2492","Slovenia",142,53.306,2
"2493","Belgium",142,795.475,2
"2494","Croatia",142,24.812,1
"2495","Sweden",142,416.234,1
"2496","Austria",142,72.486,1
"2497","Serbia",142,34.781,1
"2498","North Macedonia",142,55.407,2
"2499","Bulgaria",142,19.169,1
"2500","Portugal",142,132.706,3
"2501","Italy",143,558.205,3
"2502","Latvia",143,12.428,2
"2503","United Kingdom",143,753.693,2
"2504","Switzerland",143,197.243,1
"2505","Ukraine",143,6.574,2
"2506","Albania",143,11.258,1
"2507","Hungary",143,50.666,3
"2508","Bulgaria",143,19.169,1
"2509","France",143,278.399,3
"2510","Ireland",143,320.519,2
"2511","North Macedonia",143,55.407,2
"2512","Germany",143,108.804,2
"2513","Denmark",143,96.732,1
"2514","Sweden",143,418.888,1
"2515","Austria",143,72.71,1
"2516","Czechia",143,30.112,1
"2517","Spain",143,606.199,3
"2518","Norway",143,43.244,1
"2519","Croatia",143,25.06,1
"2520","Slovenia",143,53.306,2
"2521","Belgium",143,797.706,2
"2522","Serbia",143,34.781,1
"2523","Belarus",143,21.814,1
"2524","Poland",143,25.667,3
"2525","Bosnia and Herzegovina",143,46.08,1
"2526","Finland",143,53.964,1
"2527","Estonia",143,99.543,2
"2528","Portugal",143,132.706,3
"2529","Slovakia",143,4.961,3
"2530","Romania",143,61.854,3
"2531","Netherlands",143,339.501,1
"2532","Lithuania",143,18.545,3
"2533","Greece",143,16.659,3
"2534","Croatia",144,25.06,1
"2535","Latvia",144,12.428,2
"2536","Ukraine",144,6.574,2
"2537","Portugal",144,132.706,3
"2538","United Kingdom",144,758.122,2
"2539","Netherlands",144,339.501,1
"2540","Belarus",144,22.444,1
"2541","Hungary",144,51.067,3
"2542","Greece",144,16.659,3
"2543","Austria",144,73.157,1
"2544","Germany",144,108.804,2
"2545","Estonia",144,99.543,2
"2546","Belgium",144,799.937,2
"2547","Czechia",144,30.112,1
"2548","Spain",144,606.199,3
"2549","Norway",144,43.244,1
"2550","Slovenia",144,53.306,2
"2551","Serbia",144,34.927,1
"2552","Ireland",144,322.111,2
"2553","Finland",144,53.964,1
"2554","Slovakia",144,4.961,3
"2555","Switzerland",144,197.243,1
"2556","Lithuania",144,18.909,3
"2557","Poland",144,25.767,3
"2558","Romania",144,62.21,3
"2559","North Macedonia",144,55.407,2
"2560","Bulgaria",144,19.169,1
"2561","Sweden",144,422.491,1
"2562","Bosnia and Herzegovina",144,46.698,1
"2563","Denmark",144,97.072,1
"2564","France",144,278.399,3
"2565","Italy",144,560.187,3
"2566","Albania",144,11.61,1
"2567","Greece",145,16.659,3
"2568","Belgium",145,802.081,2
"2569","Albania",145,11.61,1
"2570","Slovenia",145,53.306,2
"2571","Norway",145,43.428,1
"2572","Serbia",145,35.072,1
"2573","Romania",145,62.82,3
"2574","Ukraine",145,6.574,2
"2575","Belarus",145,22.968,1
"2576","United Kingdom",145,762.284,2
"2577","Ireland",145,323.306,2
"2578","Lithuania",145,18.909,3
"2579","Switzerland",145,197.243,1
"2580","Italy",145,561.372,3
"2581","North Macedonia",145,55.407,2
"2582","Portugal",145,132.706,3
"2583","Germany",145,108.804,2
"2584","Czechia",145,30.303,1
"2585","Netherlands",145,339.501,1
"2586","Austria",145,73.269,1
"2587","Spain",145,606.199,3
"2588","Poland",145,26.018,3
"2589","Sweden",145,426.282,1
"2590","Estonia",145,99.543,2
"2591","Finland",145,53.964,1
"2592","Hungary",145,51.87,3
"2593","France",145,278.399,3
"2594","Bosnia and Herzegovina",145,47.317,1
"2595","Slovakia",145,4.961,3
"2596","Denmark",145,97.582,1
"2597","Croatia",145,25.308,1
"2598","Latvia",145,12.428,2
"2599","Bulgaria",145,19.169,1
"2600","Switzerland",146,197.243,1
"2601","Denmark",146,97.582,1
"2602","Netherlands",146,339.501,1
"2603","Spain",146,606.199,3
"2604","Lithuania",146,19.636,3
"2605","Greece",146,16.659,3
"2606","Slovenia",146,53.306,2
"2607","Hungary",146,51.87,3
"2608","Bulgaria",146,19.169,1
"2609","Serbia",146,35.218,1
"2610","Romania",146,63.482,3
"2611","Germany",146,108.804,2
"2612","Ukraine",146,6.574,2
"2613","Slovakia",146,4.961,3
"2614","Finland",146,53.964,1
"2615","Poland",146,26.344,3
"2616","Belgium",146,804.484,2
"2617","Estonia",146,99.543,2
"2618","United Kingdom",146,766.55,2
"2619","Latvia",146,12.428,2
"2620","North Macedonia",146,55.407,2
"2621","Portugal",146,132.706,3
"2622","Croatia",146,25.556,1
"2623","France",146,278.399,3
"2624","Albania",146,11.61,1
"2625","Italy",146,562.846,3
"2626","Sweden",146,430.074,1
"2627","Austria",146,73.381,1
"2628","Bosnia and Herzegovina",146,47.317,1
"2629","Ireland",146,324.102,2
"2630","Czechia",146,30.303,1
"2631","Norway",146,43.428,1
"2632","Belarus",146,23.493,1
"2633","Slovenia",147,53.306,2
"2634","Bosnia and Herzegovina",147,47.317,1
"2635","United Kingdom",147,770.313,2
"2636","Czechia",147,30.303,1
"2637","Latvia",147,13.509,2
"2638","North Macedonia",147,66.393,2
"2639","Lithuania",147,19.636,3
"2640","Estonia",147,101.805,2
"2641","Romania",147,64.041,3
"2642","Spain",147,613.306,3
"2643","Sweden",147,433.676,1
"2644","France",147,285.687,3
"2645","Norway",147,43.428,1
"2646","Belgium",147,805.856,2
"2647","Italy",147,564.726,3
"2648","Finland",147,53.964,1
"2649","Serbia",147,35.218,1
"2650","Ireland",147,325.496,2
"2651","Slovakia",147,4.961,3
"2652","Albania",147,11.61,1
"2653","Germany",147,109.584,2
"2654","Netherlands",147,344.682,1
"2655","Portugal",147,139.424,3
"2656","Austria",147,73.605,1
"2657","Hungary",147,52.572,3
"2658","Ukraine",147,7.405,2
"2659","Bulgaria",147,20.643,2
"2660","Belarus",147,24.017,2
"2661","Denmark",147,98.092,1
"2662","Croatia",147,25.556,1
"2663","Switzerland",147,197.243,1
"2664","Poland",147,26.595,3
"2665","Greece",147,17.236,3
"2666","France",148,285.687,3
"2667","Italy",148,565.996,3
"2668","Slovenia",148,53.306,2
"2669","Germany",148,109.584,2
"2670","Austria",148,73.605,2
"2671","Bosnia and Herzegovina",148,47.317,1
"2672","Greece",148,17.236,3
"2673","Norway",148,43.428,1
"2674","Spain",148,613.306,3
"2675","Belarus",148,24.646,2
"2676","Romania",148,64.397,3
"2677","Netherlands",148,344.682,1
"2678","United Kingdom",148,773.557,2
"2679","Belgium",148,808.001,2
"2680","Switzerland",148,197.243,1
"2681","Finland",148,53.964,1
"2682","Czechia",148,30.303,1
"2683","Albania",148,11.61,1
"2684","Portugal",148,139.424,3
"2685","Poland",148,26.67,3
"2686","North Macedonia",148,66.393,2
"2687","Slovakia",148,4.961,3
"2688","Lithuania",148,20,3
"2689","Latvia",148,13.509,2
"2690","Bulgaria",148,20.643,2
"2691","Ireland",148,326.491,2
"2692","Hungary",148,52.773,3
"2693","Ukraine",148,7.405,2
"2694","Serbia",148,35.363,1
"2695","Denmark",148,98.602,1
"2696","Sweden",148,438.037,1
"2697","Croatia",148,25.556,1
"2698","Estonia",148,101.805,2
"2699","Albania",149,11.61,1
"2700","Poland",149,26.921,3
"2701","Austria",149,74.052,2
"2702","Belgium",149,809.889,2
"2703","North Macedonia",149,66.393,2
"2704","Italy",149,567.013,3
"2705","Ireland",149,327.486,2
"2706","Portugal",149,139.424,3
"2707","France",149,285.687,3
"2708","Czechia",149,30.494,1
"2709","Croatia",149,25.556,1
"2710","Latvia",149,13.509,2
"2711","Norway",149,43.612,1
"2712","Sweden",149,441.733,1
"2713","Belarus",149,25.171,2
"2714","Netherlands",149,344.682,1
"2715","Switzerland",149,197.243,1
"2716","United Kingdom",149,776.445,2
"2717","Estonia",149,101.805,2
"2718","Denmark",149,98.942,1
"2719","Slovenia",149,53.306,2
"2720","Lithuania",149,20,3
"2721","Bulgaria",149,20.643,2
"2722","Serbia",149,35.509,1
"2723","Finland",149,53.964,1
"2724","Ukraine",149,7.405,2
"2725","Greece",149,17.236,3
"2726","Hungary",149,53.375,3
"2727","Spain",149,613.306,3
"2728","Germany",149,109.584,2
"2729","Bosnia and Herzegovina",149,47.626,1
"2730","Romania",149,64.906,3
"2731","Slovakia",149,4.961,3
"2732","Latvia",150,13.509,2
"2733","Albania",150,11.61,1
"2734","Bosnia and Herzegovina",150,48.554,1
"2735","Portugal",150,139.424,3
"2736","Finland",150,53.964,1
"2737","Lithuania",150,20,3
"2738","Poland",150,27.373,3
"2739","United Kingdom",150,779.393,2
"2740","Ukraine",150,7.405,2
"2741","North Macedonia",150,66.393,2
"2742","Slovakia",150,4.961,3
"2743","Serbia",150,35.654,1
"2744","Austria",150,74.164,2
"2745","Italy",150,567.944,3
"2746","Ireland",150,328.283,2
"2747","Sweden",150,445.146,1
"2748","Hungary",150,53.575,3
"2749","Estonia",150,101.805,2
"2750","Germany",150,109.584,2
"2751","Switzerland",150,197.243,1
"2752","Denmark",150,99.622,1
"2753","Belarus",150,25.485,2
"2754","Greece",150,17.236,3
"2755","Norway",150,43.612,1
"2756","Romania",150,65.516,3
"2757","Bulgaria",150,20.643,2
"2758","Belgium",150,811.69,2
"2759","France",150,285.687,3
"2760","Spain",150,613.306,3
"2761","Slovenia",150,53.306,2
"2762","Croatia",150,25.556,1
"2763","Czechia",150,30.589,1
"2764","Netherlands",150,344.682,1
"2765","Bosnia and Herzegovina",151,48.554,1
"2766","Finland",151,53.964,1
"2767","Slovakia",151,4.961,3
"2768","Spain",151,613.306,3
"2769","Belgium",151,813.749,2
"2770","United Kingdom",151,782.845,2
"2771","North Macedonia",151,66.393,2
"2772","Estonia",151,101.805,2
"2773","Romania",151,65.923,3
"2774","Latvia",151,13.509,2
"2775","Netherlands",151,344.682,1
"2776","France",151,285.687,3
"2777","Switzerland",151,197.243,1
"2778","Portugal",151,139.424,3
"2779","Ireland",151,328.681,2
"2780","Greece",151,17.236,3
"2781","Norway",151,43.796,1
"2782","Bulgaria",151,20.643,2
"2783","Croatia",151,25.556,1
"2784","Lithuania",151,20,3
"2785","Germany",151,109.584,2
"2786","Albania",151,11.61,1
"2787","Austria",151,74.5,2
"2788","Italy",151,569.147,3
"2789","Denmark",151,99.622,1
"2790","Belarus",151,26.01,2
"2791","Sweden",151,447.8,1
"2792","Poland",151,27.95,3
"2793","Serbia",151,35.654,1
"2794","Hungary",151,53.575,3
"2795","Czechia",151,30.684,1
"2796","Ukraine",151,7.405,2
"2797","Slovenia",151,53.306,2
"2798","Norway",152,43.796,1
"2799","Serbia",152,35.8,1
"2800","Sweden",152,451.971,1
"2801","Finland",152,53.964,1
"2802","Lithuania",152,20,3
"2803","Belgium",152,815.379,2
"2804","Latvia",152,13.509,2
"2805","Albania",152,11.61,1
"2806","North Macedonia",152,66.393,2
"2807","Slovakia",152,4.961,3
"2808","France",152,285.687,3
"2809","Bosnia and Herzegovina",152,49.172,1
"2810","Poland",152,28,3
"2811","Spain",152,613.306,3
"2812","Switzerland",152,197.243,1
"2813","Ireland",152,329.079,2
"2814","Portugal",152,139.424,3
"2815","Croatia",152,25.556,1
"2816","Romania",152,66.381,3
"2817","Hungary",152,54.077,3
"2818","Slovenia",152,53.306,2
"2819","Italy",152,570.638,3
"2820","Austria",152,74.835,2
"2821","Netherlands",152,344.682,1
"2822","Greece",152,17.236,3
"2823","Estonia",152,101.805,2
"2824","Czechia",152,30.97,1
"2825","Denmark",152,99.962,1
"2826","Ukraine",152,7.405,2
"2827","Germany",152,109.584,2
"2828","United Kingdom",152,785.852,2
"2829","Belarus",152,26.534,2
"2830","Bulgaria",152,20.643,2
"2831","Netherlands",153,344.682,1
"2832","Ireland",153,330.075,2
"2833","Bosnia and Herzegovina",153,49.172,1
"2834","Ukraine",153,7.405,2
"2835","Switzerland",153,197.243,1
"2836","Italy",153,572.077,3
"2837","Estonia",153,101.805,2
"2838","Albania",153,11.61,1
"2839","Latvia",153,13.509,2
"2840","Austria",153,75.171,2
"2841","Serbia",153,35.945,1
"2842","Greece",153,17.236,3
"2843","Romania",153,66.94,3
"2844","Croatia",153,25.556,1
"2845","Germany",153,109.584,2
"2846","Portugal",153,139.424,3
"2847","Sweden",153,455.478,1
"2848","Lithuania",153,20,3
"2849","United Kingdom",153,788.562,2
"2850","Czechia",153,30.97,1
"2851","Bulgaria",153,20.643,2
"2852","Belarus",153,27.163,2
"2853","Hungary",153,54.378,3
"2854","Denmark",153,100.642,1
"2855","Slovenia",153,53.306,2
"2856","Belgium",153,816.838,2
"2857","North Macedonia",153,66.393,2
"2858","France",153,285.687,3
"2859","Norway",153,43.796,1
"2860","Slovakia",153,4.961,3
"2861","Poland",153,28.502,3
"2862","Spain",153,613.306,3
"2863","Finland",153,53.964,1
"2864","Spain",154,618.353,3
"2865","Poland",154,28.853,3
"2866","Germany",154,110.112,2
"2867","Denmark",154,100.812,1
"2868","Romania",154,67.042,3
"2869","Czechia",154,30.97,1
"2870","Hungary",154,54.378,3
"2871","Slovakia",154,4.961,3
"2872","Norway",154,43.796,1
"2873","Italy",154,573.297,3
"2874","Estonia",154,102.559,2
"2875","Belarus",154,27.163,2
"2876","Bulgaria",154,23.592,2
"2877","Netherlands",154,347.87,1
"2878","United Kingdom",154,791.288,2
"2879","Ukraine",154,8.085,2
"2880","Sweden",154,458.227,1
"2881","Lithuania",154,20.363,3
"2882","Slovenia",154,53.778,2
"2883","Finland",154,53.964,1
"2884","Switzerland",154,197.358,1
"2885","Ireland",154,330.871,2
"2886","Portugal",154,144.292,3
"2887","France",154,290.809,3
"2888","Bosnia and Herzegovina",154,49.172,1
"2889","North Macedonia",154,75.946,2
"2890","Greece",154,17.525,3
"2891","Latvia",154,13.509,2
"2892","Albania",154,11.61,1
"2893","Croatia",154,25.804,1
"2894","Belgium",154,817.953,2
"2895","Serbia",154,36.091,1
"2896","Austria",154,75.395,2
"2897","Ukraine",155,8.085,2
"2898","Switzerland",155,197.358,1
"2899","Norway",155,43.98,1
"2900","Lithuania",155,21.09,3
"2901","Portugal",155,144.292,3
"2902","Bulgaria",155,23.592,2
"2903","France",155,290.809,3
"2904","Italy",155,574.195,3
"2905","Belgium",155,818.897,2
"2906","Romania",155,67.805,3
"2907","Bosnia and Herzegovina",155,49.482,1
"2908","Latvia",155,13.509,2
"2909","Slovenia",155,53.778,2
"2910","Austria",155,75.507,2
"2911","Slovakia",155,4.961,3
"2912","Finland",155,53.964,1
"2913","Hungary",155,54.378,3
"2914","Serbia",155,36.236,1
"2915","Sweden",155,461.355,1
"2916","Czechia",155,31.065,1
"2917","North Macedonia",155,75.946,2
"2918","Croatia",155,25.804,1
"2919","Belarus",155,28.212,2
"2920","Greece",155,17.525,3
"2921","Estonia",155,102.559,2
"2922","Poland",155,28.953,3
"2923","Ireland",155,331.468,2
"2924","Spain",155,618.353,3
"2925","Germany",155,110.112,2
"2926","United Kingdom",155,793.525,2
"2927","Netherlands",155,347.87,1
"2928","Albania",155,11.962,1
"2929","Denmark",155,101.152,1
"2930","Germany",156,110.112,2
"2931","Romania",156,68.11,3
"2932","Greece",156,17.525,3
"2933","Spain",156,618.353,3
"2934","Serbia",156,36.382,1
"2935","Portugal",156,144.292,3
"2936","Ukraine",156,8.085,2
"2937","Sweden",156,464.958,1
"2938","Croatia",156,25.804,1
"2939","France",156,290.809,3
"2940","Ireland",156,332.264,2
"2941","Switzerland",156,197.472,1
"2942","Austria",156,75.618,2
"2943","Bosnia and Herzegovina",156,49.482,1
"2944","Latvia",156,13.509,2
"2945","Belgium",156,819.926,2
"2946","Norway",156,43.98,1
"2947","Albania",156,11.962,1
"2948","Slovakia",156,4.961,3
"2949","Hungary",156,54.98,3
"2950","North Macedonia",156,75.946,2
"2951","Italy",156,575.296,3
"2952","Poland",156,29.179,3
"2953","Lithuania",156,21.09,3
"2954","Estonia",156,102.559,2
"2955","Czechia",156,31.065,1
"2956","Finland",156,54.144,1
"2957","Slovenia",156,53.778,2
"2958","Denmark",156,101.832,1
"2959","Bulgaria",156,23.592,2
"2960","United Kingdom",156,795.939,2
"2961","Netherlands",156,347.87,1
"2962","Belarus",156,28.946,2
"2963","Croatia",157,26.3,1
"2964","Ireland",157,333.26,2
"2965","Belarus",157,29.575,2
"2966","Bosnia and Herzegovina",157,49.482,1
"2967","France",157,290.809,3
"2968","United Kingdom",157,798.324,2
"2969","Belgium",157,820.784,2
"2970","Hungary",157,55.18,3
"2971","Czechia",157,31.161,1
"2972","Bulgaria",157,23.592,2
"2973","Poland",157,29.656,3
"2974","Switzerland",157,197.472,1
"2975","Lithuania",157,21.09,3
"2976","Portugal",157,144.292,3
"2977","Spain",157,618.353,3
"2978","Latvia",157,13.509,2
"2979","Denmark",157,101.832,1
"2980","North Macedonia",157,75.946,2
"2981","Norway",157,43.98,1
"2982","Slovenia",157,53.778,2
"2983","Netherlands",157,347.87,1
"2984","Finland",157,54.325,1
"2985","Romania",157,68.873,3
"2986","Germany",157,110.112,2
"2987","Greece",157,17.525,3
"2988","Serbia",157,36.382,1
"2989","Sweden",157,468.086,1
"2990","Slovakia",157,4.961,3
"2991","Estonia",157,102.559,2
"2992","Austria",157,75.954,2
"2993","Albania",157,11.962,1
"2994","Italy",157,576.634,3
"2995","Ukraine",157,8.085,2
"2996","Bosnia and Herzegovina",158,49.791,1
"2997","Austria",158,76.178,2
"2998","Norway",158,44.532,1
"2999","Greece",158,17.525,3
"3000","Belarus",158,30.205,2
"3001","Serbia",158,36.527,1
"3002","United Kingdom",158,800.353,2
"3003","Germany",158,110.112,2
"3004","Switzerland",158,197.587,1
"3005","Italy",158,577.836,3
"3006","Estonia",158,102.559,2
"3007","Spain",158,618.353,3
"3008","North Macedonia",158,75.946,2
"3009","Romania",158,69.179,3
"3010","Portugal",158,144.292,3
"3011","Belgium",158,821.814,2
"3012","Finland",158,54.325,1
"3013","Lithuania",158,21.09,3
"3014","Denmark",158,101.832,1
"3015","Sweden",158,471.783,1
"3016","Ukraine",158,8.085,2
"3017","Latvia",158,13.509,2
"3018","Croatia",158,26.3,1
"3019","Albania",158,11.962,1
"3020","Hungary",158,55.281,3
"3021","Slovenia",158,53.778,2
"3022","Slovakia",158,4.961,3
"3023","Czechia",158,31.256,1
"3024","Ireland",158,333.857,2
"3025","France",158,290.809,3
"3026","Netherlands",158,347.87,1
"3027","Bulgaria",158,23.592,2
"3028","Poland",158,30.233,3
"3029","Italy",159,578.734,3
"3030","Belgium",159,823.101,2
"3031","Finland",159,54.325,1
"3032","Latvia",159,13.509,2
"3033","Romania",159,69.636,3
"3034","Ukraine",159,8.085,2
"3035","Slovakia",159,4.961,3
"3036","Denmark",159,101.832,1
"3037","Poland",159,30.459,3
"3038","Hungary",159,55.481,3
"3039","North Macedonia",159,75.946,2
"3040","Bulgaria",159,23.592,2
"3041","Belarus",159,30.729,2
"3042","United Kingdom",159,802.812,2
"3043","Czechia",159,31.351,1
"3044","Slovenia",159,53.778,2
"3045","Bosnia and Herzegovina",159,49.791,1
"3046","Estonia",159,102.559,2
"3047","Lithuania",159,21.454,3
"3048","Netherlands",159,347.87,1
"3049","Norway",159,44.532,1
"3050","France",159,290.809,3
"3051","Serbia",159,36.673,1
"3052","Switzerland",159,197.587,1
"3053","Sweden",159,475.1,1
"3054","Austria",159,76.401,2
"3055","Greece",159,17.525,3
"3056","Ireland",159,334.255,2
"3057","Spain",159,618.353,3
"3058","Germany",159,110.112,2
"3059","Albania",159,11.962,1
"3060","Croatia",159,26.3,1
"3061","Portugal",159,144.292,3
"3062","Hungary",160,55.682,3
"3063","Lithuania",160,21.454,3
"3064","United Kingdom",160,804.605,2
"3065","Slovakia",160,4.961,3
"3066","Greece",160,17.525,3
"3067","Latvia",160,13.509,2
"3068","Poland",160,30.634,3
"3069","France",160,290.809,3
"3070","Netherlands",160,347.87,1
"3071","Albania",160,12.314,1
"3072","Slovenia",160,53.778,2
"3073","Bosnia and Herzegovina",160,50.409,1
"3074","Sweden",160,477.849,1
"3075","Ukraine",160,8.085,2
"3076","Estonia",160,102.559,2
"3077","Croatia",160,26.548,1
"3078","Italy",160,579.683,3
"3079","Belgium",160,823.873,2
"3080","Portugal",160,144.292,3
"3081","Spain",160,618.353,3
"3082","Austria",160,76.513,2
"3083","Switzerland",160,197.701,1
"3084","North Macedonia",160,75.946,2
"3085","Denmark",160,102.002,1
"3086","Czechia",160,31.447,1
"3087","Belarus",160,31.253,2
"3088","Serbia",160,36.673,1
"3089","Germany",160,110.112,2
"3090","Bulgaria",160,23.592,2
"3091","Norway",160,44.532,1
"3092","Finland",160,54.505,1
"3093","Ireland",160,335.052,2
"3094","Romania",160,70.196,3
"3095","Slovenia",161,53.778,2
"3096","Sweden",161,480.978,1
"3097","Croatia",161,26.548,1
"3098","Bulgaria",161,25.361,2
"3099","Denmark",161,102.512,1
